Index,X.1,X,Season,Episode,title,Scene,Line,Speaker,Text,Location,Region,House,Major.Char,Gender
20,20,20,Season 1,S01E01,Winter is Coming,1,20,SCRIPT_NOTE,"[As he speaks, a CREATURE with glowing blue eyes rises behind ROYCE. ROYCE turns, the CREATURE strikes. The scene shifts to WILL, who hears a man crying out. The three horses stampede past him. He turns and sees someone standing very still in the distance. The figure turns – it's the child who had been suspended in the tree, now with glowing blue eyes. WILL turns and runs.]",North of the Wall,Beyond the Wall,Other,0,Other
21,21,21,Season 1,S01E01,Winter is Coming,1,21,SCRIPT_NOTE,"[GARED is also fleeing, and we hear strange growls and catch glimpses of the CREATURE. Both terrified RANGERS stop, some distance apart, to catch their breath. WILL sees a CREATURE behead GARED. WILL sinks to his knees and the CREATURE tosses GARED'S head to him.]",North of the Wall,Beyond the Wall,Other,0,Other
22,22,22,Season 1,S01E01,Winter is Coming,1,22,SCENE BREAK,[Blackout / Opening credits],North of the Wall,Beyond the Wall,Other,0,Other
23,23,23,Season 1,S01E01,Winter is Coming,2,23,BRAN STARK,"[Riders from Winterfell come up behind a dazed WILL. The scene shifts to the castle, where BRAN is practicing archery and getting frustrated, under the eyes of JON SNOW and ROBB STARK. JON pats BRAN'S shoulder.]",Winterfell,The North,Stark,1,Male
24,24,24,Season 1,S01E01,Winter is Coming,2,24,JON SNOW,"[Riders from Winterfell come up behind a dazed WILL. The scene shifts to the castle, where BRAN is practicing archery and getting frustrated, under the eyes of JON SNOW and ROBB STARK. JON pats BRAN'S shoulder.]",Winterfell,The North,Stark,1,Male
25,25,25,Season 1,S01E01,Winter is Coming,2,25,ROBB STARK,"[Riders from Winterfell come up behind a dazed WILL. The scene shifts to the castle, where BRAN is practicing archery and getting frustrated, under the eyes of JON SNOW and ROBB STARK. JON pats BRAN'S shoulder.]",Winterfell,The North,Stark,1,Male
26,26,26,Season 1,S01E01,Winter is Coming,2,26,JON SNOW, Go on. Father's watching.,Winterfell,The North,Stark,1,Male
27,27,27,Season 1,S01E01,Winter is Coming,2,27,NED STARK,[We see NED and CATELYN STARK watching from above.],Winterfell,The North,Stark,1,Male
28,28,28,Season 1,S01E01,Winter is Coming,2,28,CATELYN STARK,[We see NED and CATELYN STARK watching from above.],Winterfell,The North,Stark,1,Female
29,29,29,Season 1,S01E01,Winter is Coming,2,29,JON SNOW, And your mother.,Winterfell,The North,Stark,1,Male
30,30,30,Season 1,S01E01,Winter is Coming,3,30,SCRIPT_NOTE,[Scene shifts to needlework practice with the girls inside the castle.],Winterfell,The North,Other,0,Other
31,31,31,Season 1,S01E01,Winter is Coming,3,31,SEPTA MORDANE," Fine work, as always. Well done.",Winterfell,The North,Other,0,Other
32,32,32,Season 1,S01E01,Winter is Coming,3,32,SANSA STARK, Thank you.,Winterfell,The North,Stark,1,Female
33,33,33,Season 1,S01E01,Winter is Coming,3,33,SEPTA MORDANE, I love the detail that you've managed to get in this corners. Quite beautiful the stitching ,Winterfell,The North,Other,0,Other
34,34,34,Season 1,S01E01,Winter is Coming,3,34,SANSA STARK,"[As she murmurs to SANSA about the embroidery, ARYA struggles with her needlework and listens to the arrows hitting and the male laughter outside.]",Winterfell,The North,Stark,1,Female
35,35,35,Season 1,S01E01,Winter is Coming,3,35,ARYA STARK,"[As she murmurs to SANSA about the embroidery, ARYA struggles with her needlework and listens to the arrows hitting and the male laughter outside.]",Winterfell,The North,Stark,1,Female
36,36,36,Season 1,S01E01,Winter is Coming,4,36,BRAN STARK,"[Outside, BRAN tries and misses again. Everyone laughs.]",Winterfell,The North,Stark,1,Male
37,37,37,Season 1,S01E01,Winter is Coming,4,37,NED STARK," And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",Winterfell,The North,Stark,1,Male
38,38,38,Season 1,S01E01,Winter is Coming,4,38,JON SNOW," Don't think too much, Bran.",Winterfell,The North,Stark,1,Male
39,39,39,Season 1,S01E01,Winter is Coming,4,39,ROBB STARK, Relax your bow arm.,Winterfell,The North,Stark,1,Male
40,40,40,Season 1,S01E01,Winter is Coming,4,40,BRAN STARK,"[BRAN pulls the arrow back. An arrow hits the bullseye. BRAN (still with his arrow), JON, and ROBB turn in surprise to see ARYA, who curtsies after her perfect shot. ROBB and JON laugh as Bran takes out after ARYA.]",Winterfell,The North,Stark,1,Male
41,41,41,Season 1,S01E01,Winter is Coming,4,41,JON SNOW,"[BRAN pulls the arrow back. An arrow hits the bullseye. BRAN (still with his arrow), JON, and ROBB turn in surprise to see ARYA, who curtsies after her perfect shot. ROBB and JON laugh as Bran takes out after ARYA.]",Winterfell,The North,Stark,1,Male
42,42,42,Season 1,S01E01,Winter is Coming,4,42,ROBB STARK,"[BRAN pulls the arrow back. An arrow hits the bullseye. BRAN (still with his arrow), JON, and ROBB turn in surprise to see ARYA, who curtsies after her perfect shot. ROBB and JON laugh as Bran takes out after ARYA.]",Winterfell,The North,Stark,1,Male
43,43,43,Season 1,S01E01,Winter is Coming,4,43,ARYA STARK,"[BRAN pulls the arrow back. An arrow hits the bullseye. BRAN (still with his arrow), JON, and ROBB turn in surprise to see ARYA, who curtsies after her perfect shot. ROBB and JON laugh as Bran takes out after ARYA.]",Winterfell,The North,Stark,1,Female
44,44,44,Season 1,S01E01,Winter is Coming,4,44,JON/ROBB," Quick, Bran, faster!",Winterfell,The North,Other,0,Other
45,45,45,Season 1,S01E01,Winter is Coming,4,45,THEON GREYJOY,[RODRICK CASSEL and THEON GREYJOY approach NED and CATELYN on the balcony.],Winterfell,The North,Greyjoy,1,Male
46,46,46,Season 1,S01E01,Winter is Coming,4,46,NED STARK,[RODRICK CASSEL and THEON GREYJOY approach NED and CATELYN on the balcony.],Winterfell,The North,Stark,1,Male
47,47,47,Season 1,S01E01,Winter is Coming,4,47,CATELYN STARK,[RODRICK CASSEL and THEON GREYJOY approach NED and CATELYN on the balcony.],Winterfell,The North,Stark,1,Female
48,48,48,Season 1,S01E01,Winter is Coming,4,48,RODRICK CASSEL, Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,Winterfell,The North,Other,0,Other
49,49,49,Season 1,S01E01,Winter is Coming,4,49,NED STARK,[NED grimaces.],Winterfell,The North,Stark,1,Male
50,50,50,Season 1,S01E01,Winter is Coming,4,50,NED STARK, Get the lads to saddle their horses.,Winterfell,The North,Stark,1,Male
51,51,51,Season 1,S01E01,Winter is Coming,4,51,THEON GREYJOY,[THEON departs.],Winterfell,The North,Greyjoy,1,Male
52,52,52,Season 1,S01E01,Winter is Coming,4,52,CATELYN STARK, Do you have to?,Winterfell,The North,Stark,1,Female
53,53,53,Season 1,S01E01,Winter is Coming,4,53,NED STARK," He swore an oath, Cat.",Winterfell,The North,Stark,1,Male
54,54,54,Season 1,S01E01,Winter is Coming,4,54,RODRICK CASSEL," The law is law, my lady.",Winterfell,The North,Other,0,Other
55,55,55,Season 1,S01E01,Winter is Coming,4,55,NED STARK," Tell Bran he's coming, too.",Winterfell,The North,Stark,1,Male
56,56,56,Season 1,S01E01,Winter is Coming,4,56,SCRIPT_NOTE,[CASSEL nods and departs.],Winterfell,The North,Other,0,Other
57,57,57,Season 1,S01E01,Winter is Coming,4,57,CATELYN STARK, Ned. Ten is too young to see such things.,Winterfell,The North,Stark,1,Female
58,58,58,Season 1,S01E01,Winter is Coming,4,58,NED STARK, He won't be a boy forever. And winter is coming.,Winterfell,The North,Stark,1,Male
59,59,59,Season 1,S01E01,Winter is Coming,4,59,NED STARK,"[NED departs. In the courtyard, ROBB and JON gather the arrows. CATELYN turns and glares down on JON. He looks at her and walks away.]",Winterfell,The North,Stark,1,Male
60,60,60,Season 1,S01E01,Winter is Coming,4,60,ROBB STARK,"[NED departs. In the courtyard, ROBB and JON gather the arrows. CATELYN turns and glares down on JON. He looks at her and walks away.]",Winterfell,The North,Stark,1,Male
61,61,61,Season 1,S01E01,Winter is Coming,4,61,JON SNOW,"[NED departs. In the courtyard, ROBB and JON gather the arrows. CATELYN turns and glares down on JON. He looks at her and walks away.]",Winterfell,The North,Stark,1,Male
62,62,62,Season 1,S01E01,Winter is Coming,4,62,CATELYN STARK,"[NED departs. In the courtyard, ROBB and JON gather the arrows. CATELYN turns and glares down on JON. He looks at her and walks away.]",Winterfell,The North,Stark,1,Female
63,63,63,Season 1,S01E01,Winter is Coming,4,63,ROBB STARK," Lad, go run back and get the rest.",Winterfell,The North,Stark,1,Male
64,64,64,Season 1,S01E01,Winter is Coming,4,64,SCRIPT_NOTE,"[Scene shifts, and we see WILL being taken to the block.]",Winterfell,The North,Other,0,Other
65,65,65,Season 1,S01E01,Winter is Coming,5,65,WILL," White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",Winterfell,The North,Other,0,Other
66,66,66,Season 1,S01E01,Winter is Coming,5,66,NED STARK,[He and NED face each other.],Winterfell,The North,Stark,1,Male
67,67,67,Season 1,S01E01,Winter is Coming,5,67,WILL," I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.",Winterfell,The North,Other,0,Other
68,68,68,Season 1,S01E01,Winter is Coming,5,68,NED STARK,"NED nods yes, and WILL is positioned on the tree limb that serves as a block. [NED draws Ice from a scabbard held by Theon.]",Winterfell,The North,Stark,1,Male
69,69,69,Season 1,S01E01,Winter is Coming,5,69,THEON GREYJOY,"NED nods yes, and WILL is positioned on the tree limb that serves as a block. [NED draws Ice from a scabbard held by Theon.]",Winterfell,The North,Greyjoy,1,Male
70,70,70,Season 1,S01E01,Winter is Coming,5,70,WILL," Forgive me, lord.",Winterfell,The North,Other,0,Other
71,71,71,Season 1,S01E01,Winter is Coming,5,71,NED STARK,[NED bows his head over ICE.],Winterfell,The North,Stark,1,Male
72,72,72,Season 1,S01E01,Winter is Coming,5,72,NED STARK," In the name of Robert of the House Baratheon, first of his name ",Winterfell,The North,Stark,1,Male
73,73,73,Season 1,S01E01,Winter is Coming,5,73,JON SNOW, Don't look away.,Winterfell,The North,Stark,1,Male
74,74,74,Season 1,S01E01,Winter is Coming,5,74,NED STARK, King of the Andals and the First Men ,Winterfell,The North,Stark,1,Male
75,75,75,Season 1,S01E01,Winter is Coming,5,75,JON SNOW, Father will know if you do.,Winterfell,The North,Stark,1,Male
76,76,76,Season 1,S01E01,Winter is Coming,5,76,NED STARK," Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",Winterfell,The North,Stark,1,Male
77,77,77,Season 1,S01E01,Winter is Coming,5,77,NED STARK,[NED swings ICE and beheads WILL. BRAN does not look away.],Winterfell,The North,Stark,1,Male
78,78,78,Season 1,S01E01,Winter is Coming,5,78,BRAN STARK,[NED swings ICE and beheads WILL. BRAN does not look away.],Winterfell,The North,Stark,1,Male
79,79,79,Season 1,S01E01,Winter is Coming,5,79,JON SNOW, You did well.,Winterfell,The North,Stark,1,Male
80,80,80,Season 1,S01E01,Winter is Coming,5,80,ROBB STARK,[He walks away. ROBB turns and puts his arm around BRAN and they go to their horses together. NED approaches BRAN.],Winterfell,The North,Stark,1,Male
81,81,81,Season 1,S01E01,Winter is Coming,5,81,BRAN STARK,[He walks away. ROBB turns and puts his arm around BRAN and they go to their horses together. NED approaches BRAN.],Winterfell,The North,Stark,1,Male
82,82,82,Season 1,S01E01,Winter is Coming,5,82,NED STARK,[He walks away. ROBB turns and puts his arm around BRAN and they go to their horses together. NED approaches BRAN.],Winterfell,The North,Stark,1,Male
83,83,83,Season 1,S01E01,Winter is Coming,5,83,NED STARK, You understand why I did it?,Winterfell,The North,Stark,1,Male
84,84,84,Season 1,S01E01,Winter is Coming,5,84,BRAN STARK, Jon said he was a deserter.,Winterfell,The North,Stark,1,Male
85,85,85,Season 1,S01E01,Winter is Coming,5,85,NED STARK, But do you understand why I had to kill him?,Winterfell,The North,Stark,1,Male
86,86,86,Season 1,S01E01,Winter is Coming,5,86,BRAN STARK, Our way is the old way?,Winterfell,The North,Stark,1,Male
87,87,87,Season 1,S01E01,Winter is Coming,5,87,NED STARK, The man who passes the sentence should swing the sword.,Winterfell,The North,Stark,1,Male
88,88,88,Season 1,S01E01,Winter is Coming,5,88,BRAN STARK, Is it true he saw the White Walkers?,Winterfell,The North,Stark,1,Male
89,89,89,Season 1,S01E01,Winter is Coming,5,89,NED STARK, The White Walkers have been gone for thousands of years.,Winterfell,The North,Stark,1,Male
90,90,90,Season 1,S01E01,Winter is Coming,5,90,BRAN STARK, So he was lying?,Winterfell,The North,Stark,1,Male
91,91,91,Season 1,S01E01,Winter is Coming,5,91,NED STARK, A madman sees what he sees.,Winterfell,The North,Stark,1,Male
92,92,92,Season 1,S01E01,Winter is Coming,6,92,SCRIPT_NOTE,[Scene shifts to a dead stag's head. The Winterfell men gather on the bridge They see a ravaged deer before them.],Winterfell,The North,Other,0,Other
93,93,93,Season 1,S01E01,Winter is Coming,6,93,JON SNOW, What is it?,Winterfell,The North,Stark,1,Male
94,94,94,Season 1,S01E01,Winter is Coming,6,94,THEON GREYJOY, Mountain lion?,Winterfell,The North,Greyjoy,1,Male
95,95,95,Season 1,S01E01,Winter is Coming,6,95,NED STARK, There are no mountain lions in these woods.,Winterfell,The North,Stark,1,Male
96,96,96,Season 1,S01E01,Winter is Coming,6,96,NED STARK,"[With swords out, they begin to search. NED finds a dead direwolf with antlers through her throat. Her pups are whimpering around her.]",Winterfell,The North,Stark,1,Male
97,97,97,Season 1,S01E01,Winter is Coming,6,97,THEON GREYJOY, It's a freak.,Winterfell,The North,Greyjoy,1,Male
98,98,98,Season 1,S01E01,Winter is Coming,6,98,NED STARK, It's a direwolf.,Winterfell,The North,Stark,1,Male
99,99,99,Season 1,S01E01,Winter is Coming,6,99,NED STARK,[NED and CASSEL glance at each other.],Winterfell,The North,Stark,1,Male
100,100,100,Season 1,S01E01,Winter is Coming,6,100,NED STARK, Tough old beast.,Winterfell,The North,Stark,1,Male
101,101,101,Season 1,S01E01,Winter is Coming,6,101,SCRIPT_NOTE,[He pulls out the antlers.],Winterfell,The North,Other,0,Other
102,102,102,Season 1,S01E01,Winter is Coming,6,102,ROBB STARK, There are no direwolves south of the Wall.,Winterfell,The North,Stark,1,Male
103,103,103,Season 1,S01E01,Winter is Coming,6,103,JON SNOW, Now there are five.,Winterfell,The North,Stark,1,Male
104,104,104,Season 1,S01E01,Winter is Coming,6,104,JON SNOW,[Jon picks up a pup and offers it to BRAN.],Winterfell,The North,Stark,1,Male
105,105,105,Season 1,S01E01,Winter is Coming,6,105,BRAN STARK,[Jon picks up a pup and offers it to BRAN.],Winterfell,The North,Stark,1,Male
106,106,106,Season 1,S01E01,Winter is Coming,6,106,JON SNOW, You want to hold it?,Winterfell,The North,Stark,1,Male
107,107,107,Season 1,S01E01,Winter is Coming,6,107,BRAN STARK, Where will they go? Their mother's dead.,Winterfell,The North,Stark,1,Male
108,108,108,Season 1,S01E01,Winter is Coming,6,108,RODRICK CASSEL, They don't belong down here.,Winterfell,The North,Other,0,Other
109,109,109,Season 1,S01E01,Winter is Coming,6,109,NED STARK, Better a quick death. They won't last without their mother.,Winterfell,The North,Stark,1,Male
110,110,110,Season 1,S01E01,Winter is Coming,6,110,THEON GREYJOY, Right. Give it here.,Winterfell,The North,Greyjoy,1,Male
111,111,111,Season 1,S01E01,Winter is Coming,6,111,BRAN STARK, NO!,Winterfell,The North,Stark,1,Male
112,112,112,Season 1,S01E01,Winter is Coming,6,112,ROBB STARK, Put away your blade.,Winterfell,The North,Stark,1,Male
113,113,113,Season 1,S01E01,Winter is Coming,6,113,THEON GREYJOY," I take orders from your father, not you.",Winterfell,The North,Greyjoy,1,Male
114,114,114,Season 1,S01E01,Winter is Coming,6,114,BRAN STARK," Please, father!",Winterfell,The North,Stark,1,Male
115,115,115,Season 1,S01E01,Winter is Coming,6,115,NED STARK," I'm sorry, Bran.",Winterfell,The North,Stark,1,Male
116,116,116,Season 1,S01E01,Winter is Coming,6,116,JON SNOW, Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,Winterfell,The North,Stark,1,Male
117,117,117,Season 1,S01E01,Winter is Coming,6,117,NED STARK,"[Everyone looks at NED, BRAN with great hope.]",Winterfell,The North,Stark,1,Male
118,118,118,Season 1,S01E01,Winter is Coming,6,118,BRAN STARK,"[Everyone looks at NED, BRAN with great hope.]",Winterfell,The North,Stark,1,Male
119,119,119,Season 1,S01E01,Winter is Coming,6,119,NED STARK," You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",Winterfell,The North,Stark,1,Male
120,120,120,Season 1,S01E01,Winter is Coming,6,120,BRAN STARK,[BRAN cradles his pup as JON hands more pups to ROBB.],Winterfell,The North,Stark,1,Male
121,121,121,Season 1,S01E01,Winter is Coming,6,121,JON SNOW,[BRAN cradles his pup as JON hands more pups to ROBB.],Winterfell,The North,Stark,1,Male
122,122,122,Season 1,S01E01,Winter is Coming,6,122,ROBB STARK,[BRAN cradles his pup as JON hands more pups to ROBB.],Winterfell,The North,Stark,1,Male
123,123,123,Season 1,S01E01,Winter is Coming,6,123,BRAN STARK, What about you?,Winterfell,The North,Stark,1,Male
124,124,124,Season 1,S01E01,Winter is Coming,6,124,JON SNOW, I'm not a Stark. Get on.,Winterfell,The North,Stark,1,Male
125,125,125,Season 1,S01E01,Winter is Coming,6,125,JON SNOW,"[JON walks away, pauses, and hears another whimper.]",Winterfell,The North,Stark,1,Male
126,126,126,Season 1,S01E01,Winter is Coming,6,126,ROBB STARK, What is it?,Winterfell,The North,Stark,1,Male
127,127,127,Season 1,S01E01,Winter is Coming,6,127,JON SNOW,[JON pulls up a white wolf pup.],Winterfell,The North,Stark,1,Male
128,128,128,Season 1,S01E01,Winter is Coming,6,128,THEON GREYJOY," The runt of the litter. That one's yours, Snow.",Winterfell,The North,Greyjoy,1,Male
129,129,129,Season 1,S01E01,Winter is Coming,7,129,CERSEI LANNISTER,"[Scene shifts to bells ringing at Kings Landing. In front of the Iron Throne, surrounded by druidical looking celebrants, lies the body of JON ARRYN. Up in the balcony, CERSEI watches the scene below as JAIME approaches.]",King's Landing,The Crownlands,Lannister,1,Female
130,130,130,Season 1,S01E01,Winter is Coming,7,130,JAIME LANNISTER,"[Scene shifts to bells ringing at Kings Landing. In front of the Iron Throne, surrounded by druidical looking celebrants, lies the body of JON ARRYN. Up in the balcony, CERSEI watches the scene below as JAIME approaches.]",King's Landing,The Crownlands,Lannister,1,Male
131,131,131,Season 1,S01E01,Winter is Coming,7,131,JAIME LANNISTER," As your brother, I feel it's my duty to warn you: You worry too much. It's starting to show.",King's Landing,The Crownlands,Lannister,1,Male
132,132,132,Season 1,S01E01,Winter is Coming,7,132,CERSEI LANNISTER," And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",King's Landing,The Crownlands,Lannister,1,Female
133,133,133,Season 1,S01E01,Winter is Coming,7,133,JAIME LANNISTER," There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.",King's Landing,The Crownlands,Lannister,1,Male
134,134,134,Season 1,S01E01,Winter is Coming,7,134,CERSEI LANNISTER, What if Jon Arryn told someone?,King's Landing,The Crownlands,Lannister,1,Female
135,135,135,Season 1,S01E01,Winter is Coming,7,135,JAIME LANNISTER, But who would he tell?,King's Landing,The Crownlands,Lannister,1,Male
136,136,136,Season 1,S01E01,Winter is Coming,7,136,CERSEI LANNISTER, My husband.,King's Landing,The Crownlands,Lannister,1,Female
137,137,137,Season 1,S01E01,Winter is Coming,7,137,JAIME LANNISTER," If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",King's Landing,The Crownlands,Lannister,1,Male
138,138,138,Season 1,S01E01,Winter is Coming,7,138,CERSEI LANNISTER, You should be the Hand of the king.,King's Landing,The Crownlands,Lannister,1,Female
139,139,139,Season 1,S01E01,Winter is Coming,7,139,JAIME LANNISTER," That's an honor I can do without. Their days are too long, their lives are too short.",Winterfell,The North,Lannister,1,Male
140,140,140,Season 1,S01E01,Winter is Coming,8,140,CATELYN STARK,Scene shifts to a raven approaching Winterfell. [CATELYN crosses a busy courtyard and finds NED in the godswood.],Winterfell,The North,Stark,1,Female
141,141,141,Season 1,S01E01,Winter is Coming,8,141,NED STARK,Scene shifts to a raven approaching Winterfell. [CATELYN crosses a busy courtyard and finds NED in the godswood.],Winterfell,The North,Stark,1,Male
142,142,142,Season 1,S01E01,Winter is Coming,8,142,CATELYN STARK, All these years and I still feel like an outsider when I come here.,Winterfell,The North,Stark,1,Female
143,143,143,Season 1,S01E01,Winter is Coming,8,143,NED STARK, You have five northern children. You're not an outsider.,Winterfell,The North,Stark,1,Male
144,144,144,Season 1,S01E01,Winter is Coming,8,144,CATELYN STARK, I wonder if the old gods agree.,Winterfell,The North,Stark,1,Female
145,145,145,Season 1,S01E01,Winter is Coming,8,145,NED STARK, It's your gods with all the rules.,Winterfell,The North,Stark,1,Male
146,146,146,Season 1,S01E01,Winter is Coming,8,146,CATELYN STARK," I am so sorry, my love.",Winterfell,The North,Stark,1,Female
147,147,147,Season 1,S01E01,Winter is Coming,8,147,NED STARK, Tell me.,Winterfell,The North,Stark,1,Male
148,148,148,Season 1,S01E01,Winter is Coming,8,148,CATELYN STARK, There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,Winterfell,The North,Stark,1,Female
149,149,149,Season 1,S01E01,Winter is Coming,8,149,NED STARK, Your sister. The boy ,Winterfell,The North,Stark,1,Male
150,150,150,Season 1,S01E01,Winter is Coming,8,150,CATELYN STARK, They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,Winterfell,The North,Stark,1,Female
151,151,151,Season 1,S01E01,Winter is Coming,8,151,NED STARK," He's coming this far North, there's only one thing he's after.",Winterfell,The North,Stark,1,Male
152,152,152,Season 1,S01E01,Winter is Coming,8,152,CATELYN STARK," You can always say no, Ned.",Winterfell,The North,Stark,1,Female
153,153,153,Season 1,S01E01,Winter is Coming,9,153,SCRIPT_NOTE,[Scene shifts to the Winterfell great hall where a great banquet is being prepared.],Winterfell,The North,Other,0,Other
154,154,154,Season 1,S01E01,Winter is Coming,9,154,CATELYN STARK, We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,Winterfell,The North,Stark,1,Female
155,155,155,Season 1,S01E01,Winter is Coming,9,155,MAESTER LUWIN, I'm told he drinks all night.,Winterfell,The North,Other,0,Other
156,156,156,Season 1,S01E01,Winter is Coming,9,156,CATELYN STARK, How much could he possibly drink? A man of his stature.,Winterfell,The North,Stark,1,Female
157,157,157,Season 1,S01E01,Winter is Coming,9,157,LUWIN, We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,Winterfell,The North,Other,0,Other
158,158,158,Season 1,S01E01,Winter is Coming,9,158,CATELYN STARK," In any case, candles.",Winterfell,The North,Stark,1,Female
159,159,159,Season 1,S01E01,Winter is Coming,10,159,ROBB STARK,"[Scene shifts to Robb, Theon, and Jon getting barbered.]",Winterfell,The North,Stark,1,Male
160,160,160,Season 1,S01E01,Winter is Coming,10,160,THEON GREYJOY,"[Scene shifts to Robb, Theon, and Jon getting barbered.]",Winterfell,The North,Greyjoy,1,Male
161,161,161,Season 1,S01E01,Winter is Coming,10,161,JON SNOW,"[Scene shifts to Robb, Theon, and Jon getting barbered.]",Winterfell,The North,Stark,1,Male
162,162,162,Season 1,S01E01,Winter is Coming,10,162,JON SNOW, Why's your mother so dead-set on us getting pretty for the king?,Winterfell,The North,Stark,1,Male
163,163,163,Season 1,S01E01,Winter is Coming,10,163,THEON GREYJOY," It's for the queen, I bet. I hear she's [sleek as a mink?]",Winterfell,The North,Greyjoy,1,Male
164,164,164,Season 1,S01E01,Winter is Coming,10,164,ROBB STARK, I hear the prince is a right royal prick.,Winterfell,The North,Stark,1,Male
165,165,165,Season 1,S01E01,Winter is Coming,10,165,THEON GREYJOY, Think of all those southern girls he gets to stab with his right royal prick.,Winterfell,The North,Greyjoy,1,Male
166,166,166,Season 1,S01E01,Winter is Coming,10,166,ROBB STARK," Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",Winterfell,The North,Stark,1,Male
